SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	MUTATIONS	SAMPLES_COHORT	ALL_METHODS	SIG_METHODS	QVALUE_COMBINATION	QVALUE_CGC_COMBINATION	RANKING	TIER	ROLE	CGC_GENE	TIER_CGC	CGC_CANCER_GENE	SIGNATURE9	SIGNATURE10	WARNING_EXPRESSION	WARNING_GERMLINE	SAMPLES_3MUTS	OR_WARNING	WARNING_ARTIFACT	KNOWN_ARTIFACT	NUM_PAPERS	WARNING_ENSEMBL_TRANSCRIPTS	DRIVER	FILTER
A1CF	ENST00000373997	CBIOP_WXS_SKCM_BROAD	MEL	5.0	88	oncodriveclustl	combination	0.0434716227366086	0.056772711905798	22.0	2	Act	True	2.0	True	0.0	0.0	True	False	0.0	False	False	False	4.0	False	True	Warning expression
A1CF	ENST00000373997	PCAWG_WGS_SKIN_MELANOMA	MEL	11.0	107	dndscv	combination	0.0055224845366376	0.0026054379431134	181.0	2	Act	True	2.0	True	0.0	0.0	True	False	0.0	False	False	False	4.0	False	True	Warning expression
A2M	ENST00000318602	CPTAC_WXS_COAD_2020	COAD	6.0	103	oncodriveclustl	combination	0.0988871217721606		50.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2M	ENST00000318602	TCGA_WXS_LUAD	LUAD	19.0	560	cbase	cbase	0.0256056663525144		184.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2M	ENST00000318602	TARGET_WGS_NBL_US	NBL	4.0	212	mutpanning	combination	0.0018257946647452		124.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2M	ENST00000318602	HARTWIG_WGS_NSCLC_2023	NSCLC	27.0	510	oncodriveclustl	combination	0.2841424142560702		66.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2M	ENST00000318602	PCAWG_WGS_PANC_ENDOCRINE	PANET	2.0	81	oncodrivefml,cbase	combination	0.0011600641899585		82.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2M	ENST00000318602	HARTWIG_WGS_PROSTATE_2023	PROSTATE	6.0	416	smregions	combination	0.0049935747713677		137.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2ML1	ENST00000299698	HARTWIG_WGS_COAD_2023	COAD	6.0	125	smregions,cbase	combination	0.0019179422030344		50.0	1	LoF	False		False	0.1666666666666666	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2ML1	ENST00000299698	ICGC_WGS_ESCA_ESCA_CN_2019	ESCA	2.0	17	oncodrivefml,cbase	combination	0.0079848299310393		31.0	1	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2ML1	ENST00000299698	PCAWG_WGS_HEAD_SCC	HNSC	2.0	56	hotmaps	combination	0.0893603977004389		98.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2ML1	ENST00000299698	CBIOP_WXS_SKCM_BROAD	MEL	10.0	88	cbase,mutpanning	combination	0.0006971882128963		56.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2ML1	ENST00000299698	CBIOP_WXS_CM_VALLEN_2018	MEL	9.0	151	hotmaps	combination	0.1005568557896238		75.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
A2ML1	ENST00000299698	TARGET_WGS_NBL_US	NBL	4.0	212	cbase	combination	0.0001208367490412		54.0	3	LoF	False		False	0.0	0.0	True	False	0.0	False	False	False	0.0	False	False	No driver
A2ML1	ENST00000299698	STJUDE_WGS_D_RHBDS_2018	RMS	2.0	14	oncodrivefml,dndscv,cbase	combination	0.0002690665664654		3.0	1	Act	False		False	0.0	0.0	True	False	0.0	False	False	False	0.0	False	False	No driver
A4GALT	ENST00000642412	PCAWG_WGS_OVARY_ADENOCA	OVT	3.0	110	oncodriveclustl	combination	0.0836707800991593		140.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
AAGAB	ENST00000261880	CBIOP_WXS_DLBCL_DFCI_2018	DLBCLNOS	2.0	121	oncodriveclustl	combination	0.0453807552004582		73.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
AAMP	ENST00000248450	TCGA_WXS_OVT	OVT	2.0	409	oncodrivefml	combination	0.0010598502778883		149.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
AARSD1	ENST00000427569	ICGC_WXS_CHOL_BTCA_JP_2019	CHOL	2.0	239	oncodrivefml	combination	0.0198989143094274		73.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
AATK	ENST00000326724	CBIOP_WXS_BRCA_MBCP_MET_NOTREAT_2020	BRCA	3.0	45	cbase	combination	0.0016301714869956		120.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	False	False	0.0	False	False	No driver
ABCA1	ENST00000374736	HARTWIG_WGS_HCC_2023	HCC	2.0	52	oncodrivefml,cbase	combination	0.0029408388075018		25.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	3.0	False	False	No driver
ABCA1	ENST00000374736	PCAWG_WGS_LIVER_HCC	HCC	11.0	314	oncodrivefml	combination	0.0006400323259031		78.0	3	LoF	False		False	0.1111111111111111	0.0	False	False	0.0	False	False	False	3.0	False	False	No driver
ABCA1	ENST00000374736	OTHER_WGS_PLMESO_MESOMICS_2016	PLMESO	3.0	98	oncodrivefml,cbase	combination	2.4488351366287303e-05		14.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	False	False	3.0	False	False	No driver
ABCA1	ENST00000374736	HARTWIG_WGS_SKIN_2023	SKIN	6.0	26	mutpanning	combination	0.1118746189111947		153.0	4	Act	False		False	0.2	0.0	False	False	0.0	False	False	False	3.0	False	False	No driver
ABCA12	ENST00000272895	TCGA_WXS_CESC	CESC	16.0	288	cbase,mutpanning	cbase	2.46472120987819e-05		40.0	1	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA12	ENST00000272895	HARTWIG_WGS_COAD_2023	COAD	6.0	125	oncodriveclustl	oncodriveclustl	0.1072877229609518		84.0	4	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA12	ENST00000272895	PCAWG_WGS_COLORECT_ADENOCA	COADREAD	4.0	52	cbase	combination	0.0004087625629953		117.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA12	ENST00000272895	PCAWG_WGS_OVARY_ADENOCA	OVT	3.0	110	oncodrivefml,dndscv,cbase	oncodrivefml	3.084581077844669e-07		6.0	1	LoF	False		False	0.3333333333333333	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA12	ENST00000272895	TCGA_WXS_PGNG	PGNG	2.0	178	oncodrivefml	combination	0.0280599654659971		28.0	3	Act	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA12	ENST00000272895	OTHER_WGS_PRAD_CPGEA_2021	PRAD	3.0	208	oncodrivefml	combination	0.0034887207722004		98.0	3	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	CBIOP_WXS_BCC_UNIGE_2016_TREAT	BCC	9.0	11	cbase	combination	0.0239601837447803		70.0	3	LoF	False		False	0.0	0.0	True	False	2.0	False	True	False	0.0	False	False	No driver
ABCA13	ENST00000435803	CBIOP_WXS_BRCA_MBCP_PRY_NOTREAT_2020	BRCA	2.0	37	dndscv	combination	0.2247505108200454		54.0	4	ambiguous	False		False	0.0	0.0	False	False	0.0	False	False	False		False	False	No driver
ABCA13	ENST00000435803	CPTAC_WXS_BRCA_2020	BRCA	8.0	127	cbase	cbase	0.0706021686198721		163.0	4	LoF	False		False	0.0	0.0	False	False	0.0	False	True	False	0.0	False	False	No driver
