source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition
P0DP25	P48995	CALM3	TRPC1	True	False	True	True	False	True
P0DP23	P48995	CALM1	TRPC1	True	False	True	True	False	True
P0DP24	P48995	CALM2	TRPC1	True	False	True	True	False	True
Q03135	P48995	CAV1	TRPC1	True	True	False	True	True	False
P14416	P48995	DRD2	TRPC1	True	True	False	True	True	False
Q99750	P48995	MDFI	TRPC1	True	False	True	True	False	True
Q14571	P48995	ITPR2	TRPC1	True	True	False	True	True	False
P29966	P48995	MARCKS	TRPC1	True	False	True	True	False	True
P48995	Q13255	TRPC1	GRM1	True	False	True	False	False	False
Q13255	P48995	GRM1	TRPC1	True	True	False	True	True	False
Q13586	P48995	STIM1	TRPC1	True	True	False	True	True	False
P48995	Q13507	TRPC1	TRPC3	True	True	False	True	True	False
Q13507	P48995	TRPC3	TRPC1	True	True	False	True	True	False
P48995	Q9UBN4	TRPC1	TRPC4	True	True	False	True	True	False
Q9UBN4	P48995	TRPC4	TRPC1	True	True	False	True	True	False
P48995	Q9UL62	TRPC1	TRPC5	True	True	False	True	True	False
Q9UL62	P48995	TRPC5	TRPC1	True	True	False	True	True	False
P48995	Q9Y210	TRPC1	TRPC6	True	False	True	True	False	True
Q9NZU7	Q9UL62	CABP1	TRPC5	True	False	True	True	False	True
P48995	Q13563	TRPC1	PKD2	True	True	False	True	True	False
Q13563	P48995	PKD2	TRPC1	True	True	False	True	True	False
P48995	Q9HBA0	TRPC1	TRPV4	True	True	False	True	True	False
Q9HBA0	P48995	TRPV4	TRPC1	True	True	False	True	True	False
P48995	Q9H1D0	TRPC1	TRPV6	True	False	True	True	False	True
P0DP25	Q13507	CALM3	TRPC3	True	False	True	True	False	True
Q96H20	Q9Y210	SNF8	TRPC6	True	True	False	True	True	False
P0DP23	Q13507	CALM1	TRPC3	True	False	True	True	False	True
P0DP24	Q13507	CALM2	TRPC3	True	False	True	True	False	True
P41180	Q13507	CASR	TRPC3	True	True	False	True	True	False
P19235	Q13507	EPOR	TRPC3	True	True	False	True	True	False
Q86YM7	Q13507	HOMER1	TRPC3	True	True	False	True	True	False
Q14643	Q13507	ITPR1	TRPC3	True	True	False	True	True	False
Q14573	Q13507	ITPR3	TRPC3	True	True	False	True	True	False
Q12797	Q13507	ASPH	TRPC3	True	True	False	True	True	False
Q96D31	Q13507	ORAI1	TRPC3	True	True	False	True	True	False
Q13976	Q13507	PRKG1	TRPC3	True	False	True	True	False	True
Q9Y225	Q13507	RNF24	TRPC3	True	False	True	True	False	True
P12931	Q13507	SRC	TRPC3	True	True	False	True	True	False
Q8TD43	Q13507	TRPM4	TRPC3	True	False	True	True	False	True
Q13563	Q13507	PKD2	TRPC3	True	True	False	True	True	False
Q96J92	Q13507	WNK4	TRPC3	True	False	True	True	False	True
P06241	Q9UBN4	FYN	TRPC4	True	False	False	False	False	False
O14745	Q9UBN4	NHERF1	TRPC4	True	True	False	True	True	False
Q9Y225	Q9UBN4	RNF24	TRPC4	True	False	True	True	False	True
P62166	Q9UL62	NCS1	TRPC5	True	True	False	True	True	False
Q86VW0	Q9UL62	SESTD1	TRPC5	True	True	False	True	True	False
Q9UL62	Q9Y210	TRPC5	TRPC6	True	False	True	True	False	True
P0DP25	Q9Y210	CALM3	TRPC6	True	True	False	True	True	False
P0DP23	Q9Y210	CALM1	TRPC6	True	True	False	True	True	False
P0DP24	Q9Y210	CALM2	TRPC6	True	True	False	True	True	False
P08631	Q9HBA0	HCK	TRPV4	True	True	False	True	True	False
P06241	Q9Y210	FYN	TRPC6	True	True	False	True	True	False
P20591	Q9Y210	MX1	TRPC6	True	True	False	True	True	False
O60500	Q9Y210	NPHS1	TRPC6	True	True	False	True	True	False
P17612	Q9Y210	PRKACA	TRPC6	True	False	False	False	False	False
Q13976	Q9Y210	PRKG1	TRPC6	True	False	True	True	False	True
Q9NP85	Q9Y210	NPHS2	TRPC6	True	True	False	True	True	False
Q9Y225	Q9Y210	RNF24	TRPC6	True	False	True	True	False	True
P12931	Q9Y210	SRC	TRPC6	True	True	False	True	True	False
Q13976	Q9HCX4	PRKG1	TRPC7	True	True	False	True	True	False
Q13563	Q9HCX4	PKD2	TRPC7	True	True	False	True	True	False
P0DP25	Q8NER1	CALM3	TRPV1	True	True	False	True	True	False
P0DP23	Q8NER1	CALM1	TRPV1	True	True	False	True	True	False
P0DP24	Q8NER1	CALM2	TRPV1	True	True	False	True	True	False
P21554	Q8NER1	CNR1	TRPV1	True	False	True	True	False	True
Q14573	Q9HBA0	ITPR3	TRPV4	True	True	False	True	True	False
P21980	Q9NQA5	TGM2	TRPV5	True	False	True	True	False	True
Q00535	Q8NER1	CDK5	TRPV1	True	True	False	True	True	False
Q8NER1	P29474	TRPV1	NOS3	True	False	False	False	False	False
Q9UNN5	Q8NER1	FAF1	TRPV1	True	False	True	True	False	True
O95166	Q8NER1	GABARAP	TRPV1	True	True	False	True	True	False
Q9NQT8	Q8NER1	KIF13B	TRPV1	True	True	False	True	True	False
P0C851	Q8NER1	PIRT	TRPV1	True	True	False	True	True	False
P17612	Q8NER1	PRKACA	TRPV1	True	True	False	True	True	False
Q13563	Q9HBA0	PKD2	TRPV4	True	True	False	True	True	False
P12931	Q8NER1	SRC	TRPV1	True	True	False	True	True	False
P04629	Q8NER1	NTRK1	TRPV1	True	True	False	True	True	False
O75762	Q8NER1	TRPA1	TRPV1	True	False	False	False	False	False
P00533	Q8NET8	EGFR	TRPV3	True	True	False	True	True	False
P0DP25	Q9HBA0	CALM3	TRPV4	True	True	False	True	True	False
P0DP23	Q9HBA0	CALM1	TRPV4	True	True	False	True	True	False
P0DP24	Q9HBA0	CALM2	TRPV4	True	True	False	True	True	False
P06241	Q9HBA0	FYN	TRPV4	True	True	False	True	True	False
Q9HBA0	Q13563	TRPV4	PKD2	True	True	False	False	False	False
P06239	Q9HBA0	LCK	TRPV4	True	True	False	True	True	False
P07948	Q9HBA0	LYN	TRPV4	True	True	False	True	True	False
Q14244	Q9HBA0	MAP7	TRPV4	True	True	False	True	True	False
Q13438	Q9HBA0	OS9	TRPV4	True	True	True	True	True	True
Q9UKS6	Q9HBA0	PACSIN3	TRPV4	True	True	False	True	True	False
P12931	Q9HBA0	SRC	TRPV4	True	True	False	True	True	False
Q9HBA0	P12931	TRPV4	SRC	True	False	False	False	False	False
P60903	Q9NQA5	S100A10	TRPV5	True	True	False	True	True	False
P07947	Q9HBA0	YES1	TRPV4	True	True	False	True	True	False
Q5W0U4	Q9NQA5	BSPRY	TRPV5	True	False	True	True	False	True
P05937	Q9NQA5	CALB1	TRPV5	True	True	False	True	True	False
P0DP25	Q9NQA5	CALM3	TRPV5	True	False	True	True	False	True
P0DP23	Q9NQA5	CALM1	TRPV5	True	False	True	True	False	True
P0DP24	Q9NQA5	CALM2	TRPV5	True	False	True	True	False	True
Q9UEF7	Q9NQA5	KL	TRPV5	True	True	False	True	True	False
P62491	Q9NQA5	RAB11A	TRPV5	True	True	False	True	True	False
O60671	Q13535	RAD1	ATR	True	True	False	False	False	False
Q8TDD5	Q9NQA5	MCOLN3	TRPV5	True	True	False	True	True	False
Q9NQA5	Q8TDD5	TRPV5	MCOLN3	True	True	False	True	True	False
Q9H1D0	Q9NQA5	TRPV6	TRPV5	True	True	False	True	True	False
Q9NQA5	Q9H1D0	TRPV5	TRPV6	True	True	False	True	True	False
P0DP25	Q9H1D0	CALM3	TRPV6	True	False	True	True	False	True
P0DP23	Q9H1D0	CALM1	TRPV6	True	False	True	True	False	True
P0DP24	Q9H1D0	CALM2	TRPV6	True	False	True	True	False	True
P06241	Q9H1D0	FYN	TRPV6	True	True	False	True	True	False
Q9UEF7	Q9H1D0	KL	TRPV6	True	True	False	True	True	False
Q86UT5	Q9H1D0	NHERF4	TRPV6	True	True	False	True	True	False
Q9BPW8	Q9H1D0	NIPSNAP1	TRPV6	True	False	True	True	False	True
P49757	Q9H1D0	NUMB	TRPV6	True	False	True	True	False	True
P18031	Q9H1D0	PTPN1	TRPV6	True	False	True	True	False	True
P62491	Q9H1D0	RAB11A	TRPV6	True	True	False	True	True	False
P41220	Q9H1D0	RGS2	TRPV6	True	False	True	True	False	True
P60903	Q9H1D0	S100A10	TRPV6	True	True	False	True	True	False
P12931	Q9H1D0	SRC	TRPV6	True	True	False	True	True	False
Q9GZU5	Q7Z4N2	NYX	TRPM1	True	True	False	True	True	False
P0DP25	O94759	CALM3	TRPM2	True	True	False	True	True	False
P0DP23	O94759	CALM1	TRPM2	True	True	False	True	True	False
P0DP24	O94759	CALM2	TRPM2	True	True	False	True	True	False
P01116	Q13671	KRAS	RIN1	True	True	False	False	False	False
Q5JVL4	O94759	EFHC1	TRPM2	True	True	False	True	True	False
Q12923	O94759	PTPN13	TRPM2	True	False	True	True	False	True
P0DP25	Q8TD43	CALM3	TRPM4	True	True	False	True	True	False
P0DP23	Q8TD43	CALM1	TRPM4	True	True	False	True	True	False
P0DP24	Q8TD43	CALM2	TRPM4	True	True	False	True	True	False
P63244	Q9BX84	RACK1	TRPM6	True	False	True	True	False	True
Q99623	Q9BX84	PHB2	TRPM6	True	False	True	True	False	True
Q96QT4	Q9BX84	TRPM7	TRPM6	True	True	False	False	False	False
